776	1121
776	1122
776	1123
777	1123
777	1124
777	1125
777	1127
777	1128
777	1129
778	1130
778	1131
778	1132
778	1133
778	1134
778	1135
779	1136
779	1137
779	1138
779	1139
779	1140
780	1141
780	1142
780	1143
781	1143
781	1144
781	1145
781	1146
781	1147
781	1148
781	1149
782	1151
782	1152
782	1154
783	1155
783	1156
783	1157
784	1157
784	1158
784	1159
785	1160
785	1161
785	1162
785	1163
786	1164
786	1165
786	1166
786	1167
787	1167
787	1168
787	1169
788	1170
788	1171
788	1172
789	1173
789	1174
790	1175
791	1176
791	1177
792	1178
792	1179
792	1180
793	1181
793	1182
794	1182
795	1183
796	1184
796	1185
797	1186
797	1187
798	1188
798	1189
799	1189
799	1190
800	1190
800	1191
801	1192
802	1194
802	1195
803	1195
803	1196
804	1196
804	1197
804	1198
805	1199
806	1200
807	1201
807	1202
808	1202
808	1203
808	1204
809	1204
809	1205
810	1206
811	1208
812	1209
814	1212
815	1213
816	1214
817	1215
818	1215
818	1216
818	1217
819	1217
820	1218
821	1219
822	1221
823	1223
824	1224
825	1225
826	1226
827	1226
827	1227
828	1228
829	1228
830	1229
831	1230
831	1231
831	1232
832	1232
832	1233
833	1234
834	1234
834	1235
835	1236
836	1237
837	1237
837	1238
838	1238
839	1239
840	1240
841	1241
842	1241
843	1242
843	1243
844	1243
844	1244
845	1244
846	1244
847	1245
848	1245
849	1246
850	1247
851	1247
852	1248
854	1249
855	1249
856	1250
857	1250
858	1250
859	1251
860	1251
861	1251
861	1252
862	1253
863	1253
864	1253
865	1253
866	1254
867	1254
868	1254
869	1255
870	1255
871	1255
872	1255
873	1255
874	1255
874	1256
875	1256
876	1256
877	1256
878	1256
879	1256
881	1256
883	1257
884	1257
885	1257
886	1258
887	1258
888	1258
889	1258
890	1258
891	1258
892	1258
893	1258
895	1259
896	1259
897	1259
898	1259
899	1259
900	1259
901	1259
902	1259
903	1259
905	1259
906	1259
907	1259
908	1259
909	1259
910	1258
912	1258
912	1257
912	1255
913	1255
914	1255
914	1254
915	1254
916	1254
917	1253
918	1253
918	1252
919	1252
920	1251
921	1250
921	1249
922	1249
923	1249
923	1248
924	1247
925	1247
926	1246
927	1246
928	1245
929	1245
930	1244
931	1244
932	1243
934	1243
935	1242
937	1241
938	1241
939	1240
940	1240
941	1239
941	1238
942	1238
943	1237
944	1236
945	1235
946	1234
947	1234
948	1233
949	1232
950	1232
951	1231
951	1230
952	1229
953	1228
954	1227
954	1226
955	1225
956	1223
956	1222
957	1219
958	1218
959	1217
960	1215
960	1214
961	1212
961	1211
961	1210
962	1209
962	1208
963	1207
963	1206
963	1204
964	1203
965	1202
965	1200
966	1199
966	1198
966	1197
967	1196
967	1195
967	1194
967	1193
968	1192
968	1190
968	1189
969	1188
969	1186
969	1185
969	1183
969	1182
969	1181
969	1180
970	1178
970	1177
970	1176
